# KE	dEdx
0.0398	3.26
0.0778	2.48
0.121	2.23
0.166	2.14
0.212	2.1
0.26	2.09
0.308	2.09
0.357	2.1
0.405	2.12
0.454	2.13
0.504	2.15
0.553	2.16
0.602	2.18
0.652	2.19
0.701	2.2
0.751	2.22
0.801	2.23
0.85	2.24
0.9	2.25
0.95	2.27
0.999	2.28
1.05	2.29
1.1	2.3
1.15	2.31
1.2	2.32
1.25	2.33
1.3	2.34
1.35	2.34
1.4	2.35
1.45	2.36
1.4	2.35
1.45	2.36
1.5	2.37
1.55	2.37
1.6	2.38
1.65	2.39
1.7	2.4
1.75	2.4
1.8	2.41
1.85	2.41
1.9	2.42
1.95	2.43
2	2.43
2.05	2.44
2.1	2.44
2.15	2.45
2.2	2.45
2.25	2.46
2.3	2.46
2.35	2.47
2.4	2.47
2.45	2.48
2.5	2.48
2.55	2.49
2.6	2.49
2.65	2.49
2.7	2.5
2.75	2.5
2.8	2.51
2.85	2.51
2.9	2.51
2.95	2.52
3.	2.52
3.05	2.52
3.1	2.53
3.15	2.53
3.2	2.53
3.25	2.54
3.3	2.54
3.35	2.54
3.4	2.55
3.45	2.55
3.5	2.55
3.55	2.56
3.6	2.56
3.65	2.56
3.7	2.57
3.75	2.57
3.8	2.57
3.85	2.57
3.9	2.58
3.95	2.58
4.	2.58
4.05	2.58
4.1	2.59
4.15	2.59
4.2	2.59
4.25	2.59
4.3	2.6
4.35	2.6
4.4	2.6
4.45	2.6
4.5	2.61
4.55	2.61
4.6	2.61
4.65	2.61
4.7	2.61
4.75	2.62
4.8	2.62
4.85	2.62
4.9	2.62
4.95	2.62
5.	2.63
5.05	2.63
5.1	2.63
5.15	2.63
5.2	2.63
5.25	2.64
5.3	2.64
5.35	2.64
5.4	2.64
5.45	2.64
5.5	2.65
5.55	2.65
5.6	2.65
5.65	2.65
5.7	2.65
5.75	2.65
5.8	2.66
5.85	2.66
5.9	2.66
5.95	2.66
6.	2.66
6.05	2.66
6.1	2.67
6.15	2.67
6.2	2.67
6.25	2.67
6.3	2.67
6.35	2.67
6.4	2.67
6.45	2.68
6.5	2.68
6.55	2.68
6.6	2.68
6.65	2.68
6.7	2.68
6.75	2.68
6.8	2.69
7.15	2.69
7.2	2.7
7.55	2.7
7.6	2.71
7.95	2.71
8.	2.72
8.44	2.72
8.49	2.73
8.94	2.73
8.99	2.74
9.44	2.74
9.49	2.75
9.99	2.75
